"community_name","average_exhibition_period","HuoFang_rate","price_adjustment_num","price_adjustment_average","community_other_price","community_other_num","community_other_floor","community_other_area","community_average_price","community_average_area","community_average_floor","community_average_AreaPrice","business_district","business_district_sales_num","business_district_other_price","business_district_other_num","business_district_other_floor","business_district_other_area","business_district_average_price","business_district_average_area","business_district_average_floor","business_district_average_AreaPrice"
"合景天峻",5.35988003545563,"无",2,185,13680,11,257,99.54,1243.63636363636,9.04909090909091,23.3636363636364,137.432188065099,"",8594,NA,8594,167157,99323.31,NA,11.5572853153363,19.4504305329299,NA
"和苑小区",29.9796746796756,"无",1,40,1430,1,7,8.65,1430,8.65,7,165.317919075144,"三坝",53,100750,53,802,669.32,1900.94339622642,12.628679245283,15.1320754716981,150.525906890575
"理想银泰城",3.14705734227903,"无",3,136.666666666667,14680,13,611,148.3,1129.23076923077,11.4076923076923,47,98.9885367498314,"临平",43,51090,43,1132,522.46,1188.13953488372,12.1502325581395,26.3255813953488,97.7873904222333
"翠屏清华园",11.7828438029202,"无",2,245,22050,14,82,220.4,1575,15.7428571428571,5.85714285714286,100.045372050817,"",8594,NA,8594,167157,99323.31,NA,11.5572853153363,19.4504305329299,NA
"旭光里",10.1928649496729,"无",2,130,6660,5,29,54,1332,10.8,5.8,123.333333333333,"武定门",61,94220,61,518,737.9,1544.59016393443,12.0967213114754,8.49180327868852,127.686678411709
"景瑞申花郡",7.99714151765783,"无",1,60,9720,6,86,79.23,1620,13.205,14.3333333333333,122.68080272624,"三墩",206,312480,206,4741,2076.36,1516.8932038835,10.0794174757282,23.0145631067961,150.494133965208
"康盛花园",6.9902840430127,"无",3,186.666666666667,11140,9,69,78.2,1237.77777777778,8.68888888888889,7.66666666666667,142.455242966752,"卡子门",56,92080,56,457,688.25,1644.28571428571,12.2901785714286,8.16071428571429,133.788594260806
"九龙仓珑玺",13.4738233993842,"无",5,128,20910,12,288,124.7,1742.5,10.3916666666667,24,167.682437850842,"虾龙圩",77,127230,77,1359,875.47,1652.33766233766,11.3697402597403,17.6493506493506,145.327652575188
"红联九漾华庭西区",8.6163615455602,"无",9,211.111111111111,26170,21,376,268.6,1246.19047619048,12.7904761904762,17.9047619047619,97.4311243484736,"南苑",147,172590,147,3753,1670.55,1174.08163265306,11.3642857142857,25.530612244898,103.313280057466
"翠屏国际广场苑",15.3188871339065,"无",1,160,4280,3,23,46.7,1426.66666666667,15.5666666666667,7.66666666666667,91.6488222698073,"",8594,NA,8594,167157,99323.31,NA,11.5572853153363,19.4504305329299,NA
"滨江德信东方星城",10.5850677709709,"无",10,144,98180,63,1071,603,1558.4126984127,9.57142857142857,17,162.819237147595,"火车东站",70,113230,70,1186,690,1617.57142857143,9.85714285714286,16.9428571428571,164.101449275362
"虹旭小区",19.5045370257701,"无",2,190,4960,2,12,17.4,2480,8.7,6,285.057471264368,"水城路",9,26390,9,76,123.2,2932.22222222222,13.6888888888889,8.44444444444444,214.204545454545
"锦绣前程阳光苑",21.9793257071478,"无",1,170,5850,2,28,29.8,2925,14.9,14,196.308724832215,"芳华路",84,190510,84,692,1089.85,2267.97619047619,12.9744047619048,8.23809523809524,174.80387209249
"钟麓花园",9.9769494788528,"无",1,340,2920,2,14,23.6,1460,11.8,7,123.728813559322,"蒋王庙站",5,6900,5,35,50.6,1380,10.12,7,136.363636363636
