"community_name","business_district","all_num_business_district","all_num_community","business_district_average_price","community_average_price","community_sales_num","exbination_and_adjustment_ave_exhibition_period","price_adjustment_num","price_adjustment_average"
"辽源三村","鞍山新村",36,2,3767.5,4340,1,3.49984633207045,1,170
"淞南六村","长江南路",196,3,2284.64285714286,3946.66666666667,1,4.33087124843288,1,270
"龙湖新壹城","松江大学城",274,2,1972.62773722628,2560,2,8.00224952876154,1,270
"河风丽景","北新泾",80,15,3599,3452,6,1.40124096478007,1,170
"嘉登公寓","西藏南路",94,5,5043.71276595745,6452,1,1.39955571052984,1,360
"嘉利明珠城","延长路",103,30,3250.56310679612,2788.33333333333,13,1.83367686758264,1,500
"中芯花园(公寓)","广兰路",267,17,2650.67041198502,2689.41176470588,1,0.176685312161616,1,270
"润江花苑","泗泾",489,34,2055.96932515337,2033.82352941176,7,1.64616378071343,1,400
"华银坊","华宁路",33,8,1528.18181818182,1317.5,1,1.75191571187918,1,130
"瑞康苑","芦恒路",53,3,2661.88679245283,1513.33333333333,1,3.66565847218037,1,130
"胜悦嘉苑","嘉定西",273,8,1517.43223443223,1748.75,6,5.00219297882997,1,140
"招商海德名门","富锦路",52,17,1800,1642.35294117647,5,1.47004356323179,1,100
"双秀西园","",17337,9,2055.19659648111,1918.88888888889,2,1.88999398344001,1,160
"凯立天香家园","宜宾道",43,4,1599.53488372093,1700,3,7.25455210796247,1,70
"世纪广场","陈家祠",38,12,2064.47368421053,2029.16666666667,5,3.49964623158476,1,200
"五山花园","五山",35,9,1892.57142857143,2006.66666666667,2,1.4449999317027,1,100
"朗晴居二期","市二宫",21,2,1957.14285714286,1575,1,9.99795608238352,1,130
"华景新城陶然庭园","五山",35,13,1892.57142857143,1891.53846153846,5,4.53671566479099,1,100
"逸翠湾","黄沙",19,7,2354.21052631579,2434.28571428571,1,2.2874856253126,1,200
"京基御景华城","赤尾",38,22,4838.65789473684,5580.90909090909,4,1.63620231157614,1,790
"蓝光COCO蜜城","清江西路",122,14,1219.18032786885,1103.57142857143,4,4.71434832291076,1,30
"香蜜二村","香梅",34,18,2933.47058823529,2107.72222222222,6,1.44382555907692,2,115
"园岭新村","",17337,56,2055.19659648111,2137.85714285714,14,1.53529743793829,1,330
"明月花都","",17337,2,2055.19659648111,2340,1,11.4989884441484,1,200
"深航假日名居","宝安",51,18,2157.94117647059,2217.22222222222,8,2.33133276818665,1,460
"星海名城五期","",17337,7,2055.19659648111,5655.71428571429,1,3.28523178067472,1,130
"海富花园","",17337,5,2055.19659648111,2530,1,0.997805211854202,1,100
"粤海新村","太安",76,4,1791.97368421053,1645,1,4.50208652443011,1,100
"龙辉花园","珠光",87,12,2584.13793103448,1746.66666666667,6,3.08452084914793,1,100
"景蜜村","",17337,8,2055.19659648111,1788.625,5,3.62531195202394,1,140
"信义御城豪园","",17337,34,2055.19659648111,1375.58823529412,9,1.11729337142184,1,70
"领航城领丽花园","",17337,9,2055.19659648111,1722.22222222222,6,7.44864745250639,1,160
"颐慧佳园","慈寿寺",64,6,4392.34375,4233.33333333333,2,3.33279738835622,1,2470
"阜成门外大街甲40号","白堆子",62,10,4872.37096774194,4568,2,1.19056261980313,1,670
"季景沁园","望京西",223,19,4219.9865470852,4350.42105263158,1,1.3575513448405,1,230
"CBD传奇","平乐园",126,32,4877.21428571429,5947.5,11,2.44465173417909,2,505
"大柳树13号院","魏公村",119,8,5367.89075630252,4732.5,1,2.49974522037466,1,200
"牛街18","广安门内",84,6,4389.61904761905,3181.5,4,4.66181924815807,1,3891
"民族大学附属中学家属楼","魏公村",119,1,5367.89075630252,3530,1,11.9961112889592,1,1130
